UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1474989923,9/27/2016 12:00:00 AM,05:25:23,1.26,47,30.37,84,201.36,3.37,06:13:00,18:15:00
1474989619,9/27/2016 12:00:00 AM,05:20:19,1.18,47,30.37,82,201.34,4.5,06:13:00,18:15:00
1474989322,9/27/2016 12:00:00 AM,05:15:22,1.23,48,30.36,80,223.56,3.37,06:13:00,18:15:00
1474989021,9/27/2016 12:00:00 AM,05:10:21,1.24,48,30.36,79,210.68,5.62,06:13:00,18:15:00
1474988724,9/27/2016 12:00:00 AM,05:05:24,1.19,48,30.36,80,223.45,11.25,06:13:00,18:15:00
1474988419,9/27/2016 12:00:00 AM,05:00:19,1.24,48,30.36,82,206.91,4.5,06:13:00,18:15:00
1474988121,9/27/2016 12:00:00 AM,04:55:21,1.23,48,30.36,88,176.9,5.62,06:13:00,18:15:00
1474987820,9/27/2016 12:00:00 AM,04:50:20,1.21,48,30.36,90,169.55,5.62,06:13:00,18:15:00
1474987522,9/27/2016 12:00:00 AM,04:45:22,1.24,48,30.36,92,164.62,6.75,06:13:00,18:15:00
1474987221,9/27/2016 12:00:00 AM,04:40:21,1.24,48,30.36,92,178.25,7.87,06:13:00,18:15:00
1474986925,9/27/2016 12:00:00 AM,04:35:25,1.21,48,30.36,91,172.88,7.87,06:13:00,18:15:00
1474986618,9/27/2016 12:00:00 AM,04:30:18,1.22,47,30.36,90,188.92,6.75,06:13:00,18:15:00
1474986321,9/27/2016 12:00:00 AM,04:25:21,1.18,47,30.36,87,178.79,10.12,06:13:00,18:15:00
1474986018,9/27/2016 12:00:00 AM,04:20:18,1.24,47,30.36,79,189.61,7.87,06:13:00,18:15:00
1474985720,9/27/2016 12:00:00 AM,04:15:20,1.22,47,30.36,74,179.69,7.87,06:13:00,18:15:00
1474985423,9/27/2016 12:00:00 AM,04:10:23,1.22,47,30.36,73,184.99,7.87,06:13:00,18:15:00
1474985123,9/27/2016 12:00:00 AM,04:05:23,1.22,46,30.36,74,189.53,6.75,06:13:00,18:15:00
1474984819,9/27/2016 12:00:00 AM,04:00:19,1.21,46,30.36,75,197.99,10.12,06:13:00,18:15:00
1474984520,9/27/2016 12:00:00 AM,03:55:20,1.23,46,30.36,75,195.86,9,06:13:00,18:15:00
1474984219,9/27/2016 12:00:00 AM,03:50:19,1.22,47,30.36,74,197.82,7.87,06:13:00,18:15:00
1474983918,9/27/2016 12:00:00 AM,03:45:18,1.23,47,30.36,73,191.53,5.62,06:13:00,18:15:00
1474983619,9/27/2016 12:00:00 AM,03:40:19,1.22,46,30.36,72,197.52,4.5,06:13:00,18:15:00
1474983320,9/27/2016 12:00:00 AM,03:35:20,1.22,46,30.36,74,184.84,4.5,06:13:00,18:15:00
1474983021,9/27/2016 12:00:00 AM,03:30:21,1.2,46,30.36,73,188.07,3.37,06:13:00,18:15:00
1474982723,9/27/2016 12:00:00 AM,03:25:23,1.2,46,30.36,74,172.03,7.87,06:13:00,18:15:00
1474982421,9/27/2016 12:00:00 AM,03:20:21,1.23,46,30.36,74,173.97,4.5,06:13:00,18:15:00
1474982122,9/27/2016 12:00:00 AM,03:15:22,1.22,46,30.36,75,166.51,2.25,06:13:00,18:15:00
1474981824,9/27/2016 12:00:00 AM,03:10:24,1.22,46,30.37,75,166.7,5.62,06:13:00,18:15:00
1474981519,9/27/2016 12:00:00 AM,03:05:19,1.24,46,30.37,72,169.96,6.75,06:13:00,18:15:00
1474981220,9/27/2016 12:00:00 AM,03:00:20,1.23,46,30.36,72,205.07,5.62,06:13:00,18:15:00
